person_id,person_name,first_seen_ward,source_url
794865a037f9402b,"Bloxham, David",Alum Rock Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3198/alum_rock_ward_election_2026
4d316d9ef5c9fe49,"Bolton, James Liam Pennington",Quinton Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3241/quinton_ward_election_2026
43fa06ef8f4a26ef,"Bowen, Iain David",Highter’s Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3224/highters_heath_ward_election_2026
42b43ba4a76b3981,"Boyle, Stephanie",Perry Common Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3239/perry_common_ward_election_2026
bf5c10e7b0458f32,"Brennan, Nicky",Bournville and Cotteridge Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3207/bournville_and_cotteridge_ward_election_2026
504f0fac4044ead3,"Brett Young, Tony",Longbridge and West Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3230/longbridge_and_west_heath_ward_election_2026
13f0ea0e1f10a347,"Brewer, Kerry",Bartley Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3201/bartley_green_ward_election_2026
828f3ec20973105d,"Bridle, Marje",Glebe Farm and Tile Cross Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3216/glebe_farm_and_tile_cross_ward_election_2026
4e16e741e93d1e1e,"Briggs, Tony",Shard End Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3243/shard_end_ward_election_2026
7732ffa7f602d02f,"Brittain, Curtis James",Handsworth Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3220/handsworth_ward_election_2026
29baa9687bb07aef,"Brookes, Jack Matthew",Oscott Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3237/oscott_ward_election_2026
90de8e1c56fede82,"Brooks, Martin John",Harborne Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3222/harborne_ward_election_2026
5cf90eac05f81ca5,"Brooks, Su",Soho and Jewellery Quarter Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3246/soho_and_jewellery_quarter_ward_election_2026
a84cf79ebbea28c0,"Brown, Joel Samuel",King’s Norton South Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3227/kings_norton_south_ward_election_2026
ef9e934ca555f6f5,"Brown, Mick",Gravelly Hill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3217/gravelly_hill_ward_election_2026
e1b4e6ba4d2bda23,"Brown, Neil James",Handsworth Wood Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3221/handsworth_wood_ward_election_2026
3f9db06325343796,"Brown, Stephen",Druids Heath and Monyhull Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3211/druids_heath_and_monyhull_ward_election_2026
a05c7080bc067276,"Buchan, Marie",Weoley and Selly Oak Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3262/weoley_and_selly_oak_ward_election_2026
3c030e8fcc9a9f2c,"Bunting, Joshua-John",Oscott Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3237/oscott_ward_election_2026
28f4dac2be38998f,"Burgess, James Victor",Harborne Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3222/harborne_ward_election_2026
f6ea13f8b3e94a75,"Burkey, Wajid",Bordesley Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3205/bordesley_green_ward_election_2026
ad947792706fd068,"Busuttil, Carla",Garretts Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3215/garretts_green_ward_election_2026
ad11757d8f81b181,"Butt, Manni",Stockland Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3251/stockland_green_ward_election_2026
6a1707784b8898cb,"Butt, Shahid",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
fbb89fa12d6d76c2,"Carmody, Kevin James",Harborne Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3222/harborne_ward_election_2026
