election_date,ward_name,number_of_candidates,total_votes_cast,total_potential_voters,turnout_percent,number_of_councillors_elected,source_url
2026-05-07,Newtown Ward,7,2122,7661.0,27.7,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3234/newtown_ward_election_2026
2026-05-07,North Edgbaston Ward,12,8999,28723.0,31.33,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3235/north_edgbaston_ward_election_2026
2026-05-07,Northfield Ward,5,3693,8194.0,45.07,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3236/northfield_ward_election_2026
2026-05-07,Oscott Ward,13,9495,27602.0,34.4,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3237/oscott_ward_election_2026
2026-05-07,Perry Barr Ward,13,9743,27885.0,34.94,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3238/perry_barr_ward_election_2026
2026-05-07,Perry Common Ward,6,2413,7784.0,31.0,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3239/perry_common_ward_election_2026
2026-05-07,Pype Hayes Ward,6,2447,7539.0,32.46,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3240/pype_hayes_ward_election_2026
2026-05-07,Quinton Ward,11,11104,27370.0,40.57,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3241/quinton_ward_election_2026
2026-05-07,Rubery and Rednal Ward,5,2558,7145.0,35.8,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3242/rubery_and_rednal_ward_election_2026
2026-05-07,Shard End Ward,6,2461,8475.0,29.04,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3243/shard_end_ward_election_2026
2026-05-07,Sheldon Ward,12,10203,27501.0,37.1,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3244/sheldon_ward_election_2026
2026-05-07,Small Heath Ward,15,9563,26272.0,36.4,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3245/small_heath_ward_election_2026
2026-05-07,Soho and Jewellery Quarter Ward,12,8898,31576.0,28.18,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3246/soho_and_jewellery_quarter_ward_election_2026
2026-05-07,South Yardley Ward,6,2820,7460.0,37.8,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3247/south_yardley_ward_election_2026
2026-05-07,Sparkbrook and Balsall Heath East Ward,14,10132,30426.0,33.3,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3248/sparkbrook_and_balsall_heath_east_ward_election_2026
2026-05-07,Sparkhill Ward,13,8516,25566.0,33.31,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
2026-05-07,Stirchley Ward,5,3668,7442.0,49.29,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3250/stirchley_ward_election_2026
2026-05-07,Stockland Green Ward,14,8657,28543.0,30.33,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3251/stockland_green_ward_election_2026
2026-05-07,Sutton Four Oaks Ward,5,3771,,,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3252/sutton_four_oaks_ward_election_2026
2026-05-07,Sutton Mere Green Ward,5,3931,7970.0,49.32,,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3253/sutton_mere_green_ward_election_2026
2026-05-07,Sutton Reddicap Ward,5,3062,7366.0,41.57,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3254/sutton_reddicap_ward_election_2026
2026-05-07,Sutton Roughley Ward,5,4104,8469.0,48.46,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3255/sutton_roughley_ward_election_2026
2026-05-07,Sutton Trinity Ward,5,3712,7622.0,48.7,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3256/sutton_trinity_ward_election_2026
2026-05-07,Sutton Vesey Ward,10,14684,29309.0,50.1,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3257/sutton_vesey_ward_election_2026
2026-05-07,Sutton Walmley and Minworth Ward,10,11356,24126.0,47.07,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3258/sutton_walmley_and_minworth_ward_election_2026
2026-05-07,Sutton Wylde Green Ward,5,3782,7166.0,52.78,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3259/sutton_wylde_green_ward_election_2026
2026-05-07,Tyseley and Hay Mills Ward,7,2684,8233.0,32.6,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3260/tyseley_and_hay_mills_ward_election_2026
2026-05-07,Ward End Ward,8,3398,8576.0,39.62,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3261/ward_end_ward_election_2026
2026-05-07,Weoley and Selly Oak Ward,11,11657,30129.0,38.69,2.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3262/weoley_and_selly_oak_ward_election_2026
2026-05-07,Yardley East Ward,6,2832,7953.0,35.61,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3263/yardley_east_ward_election_2026
2026-05-07,Yardley West and Stechford Ward,6,3145,8023.0,39.2,1.0,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3264/yardley_west_and_stechford_ward_election_2026
