councillor_name,ward_name,party_name,councillor_url,councillor_id,page_last_updated,joined_council,office_expires,council_service,telephone,email,has_surgery,surgery_summary,register_of_interests_url
Saddak Miah,Garretts Green,Labour,https://www.birmingham.gov.uk/councillors/144/saddak_miah,144,2026-05-11,3 May 2018,2030,May 2018 to date,,,True,Garretts Green Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/10218/councillor_saddak_miah
Philip Mills,Moseley,Liberal Democrat,https://www.birmingham.gov.uk/councillors/191/philip_mills,191,2026-05-12,23 October 2025,2030,23 October 2025 to date,,,True,Moseley Ward @ Liberal Democrat Party,https://www.birmingham.gov.uk/downloads/file/30999/councillor_philip_mills
Gareth Moore,Erdington,Conservative,https://www.birmingham.gov.uk/councillors/87/gareth_moore,87,2026-05-11,5 May 2011,2030,May 2011 to date,,,True,Erdington Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/3635/councillor_gareth_moore
Jex Parkin,Kingstanding,Reform UK,https://www.birmingham.gov.uk/councillors/188/jex_parkin,188,2026-05-15,8 May 2026,2030,8 May 2026,,,True,Kingstanding Ward @ Reform UK Party,
Richard Parkin,Sutton Reddicap,Conservative,https://www.birmingham.gov.uk/councillors/180/richard_parkin,180,2026-05-11,5 May 2022,2030,May 2022 to date,,,True,Sutton Reddicap Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/23490/councillor_richard_parkin
Harry Parmar,Sutton Roughley,Conservative,https://www.birmingham.gov.uk/councillors/83/harry_parmar,83,2026-05-15,May 2026,2030,May 2026 to date,,,True,Sutton Roughley Ward @ Conservative Party,
Anja Pawson,Sutton Vesey,Conservative,https://www.birmingham.gov.uk/councillors/142/anja_pawson,142,2026-05-15,7 May 2026,2030,May 2026 to date,,,True,Sutton Vesey Ward @ Conservative Party,
Joe Peacock,Billesley,Green,https://www.birmingham.gov.uk/councillors/147/joe_peacock,147,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Billesley Ward @ Green Party,
David Pears,Sutton Trinity,Conservative,https://www.birmingham.gov.uk/councillors/91/david_pears,91,2026-05-11,7 May 1987,2030,"May 1987 to May 1991, May 1992 to May 1996, June 2004 to date",,,True,Sutton Trinity Ward @ Conservative Party,https://www.birmingham.gov.uk/downloads/file/3637/councillor_david_pears
Nagu Penakacherla,Quinton,Reform UK,https://www.birmingham.gov.uk/councillors/173/nagu_penakacherla,173,2026-05-15,,2030,,,,True,Quinton Ward @ Reform UK Party,
John Perks,Sutton Walmley & Minworth,Conservative,https://www.birmingham.gov.uk/councillors/14/john_perks,14,2026-05-15,May 2026,2030,May 2026 to date,,,True,Sutton Walmley & Minworth Ward @ Conservative Party,
Jordan Phillip,Brandwood & Kings Heath,Green,https://www.birmingham.gov.uk/councillors/159/jordan_phillip,159,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Brandwood & Kings Heath Ward @ Green Party,
Julien Pritchard,Druids Heath & Monyhull,Green,https://www.birmingham.gov.uk/councillors/129/julien_pritchard,129,2026-05-11,3 May 2018,2030,May 2018 to date,,,False,,https://www.birmingham.gov.uk/downloads/file/10217/councillor_julien_pritchard
Mansoor Qureshi,Hall Green North,Green,https://www.birmingham.gov.uk/councillors/131/mansoor_qureshi,131,2026-05-15,,2030,,,,True,Hall Green North Ward @ Green Party,
Atikur Rahman,Tyseley & Hay Mills,Green,https://www.birmingham.gov.uk/councillors/62/atikur_rahman,62,2026-05-15,7 May 2026,2030,May 2026 to date,,,True,Tyseley & Hay Mills Ward @ Green Party,
Mohammed Saeed,Small Heath,Liberal Democrat,https://www.birmingham.gov.uk/councillors/176/mohammed_saeed,176,2026-05-15,,2030,,,,True,Small Heath Ward @ Liberal Democrat Party,
Haroon Salim,Hall Green North,Green,https://www.birmingham.gov.uk/councillors/148/haroon_salim,148,2026-05-15,,2030,,,,True,Hall Green North Ward @ Green Party,
Shafique Shah,Heartlands,Labour,https://www.birmingham.gov.uk/councillors/103/shafique_shah,103,2026-05-11,28 July 2005,2030,July 2005 to date,,,True,Heartlands Ward @ Labour Party,https://www.birmingham.gov.uk/downloads/file/3651/councillor_shafique_shah
Raaj Shamji,Sutton Four Oaks,Conservative,https://www.birmingham.gov.uk/councillors/33/raaj_shamji,33,2026-05-15,7 May 2026,2030,May 2026 to date,,,True,Sutton Four Oaks Ward @ Conservative Party,
Hamzah Sheikh,Brandwood & Kings Heath,Green,https://www.birmingham.gov.uk/councillors/113/hamzah_sheikh,113,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Brandwood & Kings Heath Ward @ Green Party,
Rinkal Shergill,Holyhead,Birmingham Independent Councillors,https://www.birmingham.gov.uk/councillors/162/rinkal_shergill,162,2026-05-11,5 May 2022,2030,May 2022 to date,,,True,Holyhead Ward @ Birmingham Independent Councillors Party,https://www.birmingham.gov.uk/downloads/file/23519/councillor_rinkal_shergill
Abdul Shumon,Aston,Independent,https://www.birmingham.gov.uk/councillors/156/abdul_shumon,156,2026-05-15,To be confirmed,2030,To be confirmed,,,True,Aston Ward @ Independent Party,
