election_date,ward_name,number_of_candidates,total_votes_cast,total_potential_voters,turnout_percent,number_of_councillors_elected,source_url
2022-05-05,South Yardley Ward,5,1907,,,,https://www.birmingham.gov.uk/directory_record/370727/south_yardley_ward_results
2022-05-05,Sparkbrook and Balsall Heath East Ward,7,7328,,,,https://www.birmingham.gov.uk/directory_record/370770/sparkbrook_and_balsall_heath_east_ward_results
2022-05-05,Sparkhill Ward,6,7612,,,,https://www.birmingham.gov.uk/directory_record/370726/sparkhill_ward_results
2022-05-05,Stirchley Ward,4,2615,,,,https://www.birmingham.gov.uk/directory_record/370721/stirchley_ward_results
2022-05-05,Stockland Green Ward,9,6132,,,,https://www.birmingham.gov.uk/directory_record/370723/stockland_green_ward_results
2022-05-05,Sutton Four Oaks Ward,4,2507,,,,https://www.birmingham.gov.uk/directory_record/370771/sutton_four_oaks_ward_results
2022-05-05,Sutton Mere Green Ward,4,2682,,,,https://www.birmingham.gov.uk/directory_record/370729/sutton_mere_green_ward_results
2022-05-05,Sutton Reddicap Ward,3,1922,,,,https://www.birmingham.gov.uk/directory_record/370725/sutton_reddicap_ward_results
2022-05-05,Sutton Roughley Ward,3,2595,,,,https://www.birmingham.gov.uk/directory_record/370724/sutton_roughley_ward_results
2022-05-05,Sutton Trinity Ward,4,2403,,,,https://www.birmingham.gov.uk/directory_record/370720/sutton_trinity_ward_results
2022-05-05,Sutton Vesey Ward,6,10059,,,,https://www.birmingham.gov.uk/directory_record/370719/sutton_vesey_ward_results
2022-05-05,Sutton Walmley and Minworth Ward,7,6692,,,,https://www.birmingham.gov.uk/directory_record/370713/sutton_walmley_and_minworth_ward_results
2022-05-05,Sutton Wylde Green Ward,4,2587,,,,https://www.birmingham.gov.uk/directory_record/370718/sutton_wylde_green_ward_results
2022-05-05,Tyseley and Hay Mills Ward,4,1789,,,,https://www.birmingham.gov.uk/directory_record/370712/tyseley_and_hay_mills_ward_results
2022-05-05,Ward End Ward,4,2717,,,,https://www.birmingham.gov.uk/directory_record/370711/ward_end_ward_results
2022-05-05,Weoley and Selly Oak Ward,8,9043,,,,https://www.birmingham.gov.uk/directory_record/370708/weoley_and_selly_oak_ward_results
2022-05-05,Yardley East Ward,3,2069,,,,https://www.birmingham.gov.uk/directory_record/370707/yardley_east_ward_results
2022-05-05,Yardley West and Stechford Ward,3,2809,,,,https://www.birmingham.gov.uk/directory_record/370703/yardley_west_and_stetchford_ward_results
