person_id,person_name,election_date,ward_name,votes_received,is_elected,party_name,source_url
c9c670010b00e4fb,Preston Paul Simon,2022-05-05,Bartley Green Ward,1511,False,Labour and Co-operative Party,https://www.birmingham.gov.uk/directory_record/370705/bartley_green_ward_results
faecfffee3e40262,Robertson James,2022-05-05,Bartley Green Ward,259,False,Green Party,https://www.birmingham.gov.uk/directory_record/370705/bartley_green_ward_results
0395e3dc7c458a14,Bishop Ian,2022-05-05,Billesley Ward,93,False,Reform UK,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
a3bb997e3748dc6f,Davis Phil,2022-05-05,Billesley Ward,2153,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
9d560965b100b121,Iroh Katherine,2022-05-05,Billesley Ward,2000,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
6d66e2b6da0f41d0,Maguire Clare,2022-05-05,Billesley Ward,279,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
28e5ee117cdb8ea4,McLernan Michael James Alexander,2022-05-05,Billesley Ward,1310,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
a26d79ed845348ee,Neal Ian,2022-05-05,Billesley Ward,183,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
f2a313d6dfd6fbac,Peacock Hilary Clare,2022-05-05,Billesley Ward,392,False,Green Party,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
acb5616ba6ea3ebb,Peacock Joseph Michael,2022-05-05,Billesley Ward,223,False,Green Party,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
db1c93ece4f3aaac,Qazi Nayaz,2022-05-05,Billesley Ward,1261,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
d05ba9eb5e4ac96f,Anton Christopher Stephen,2022-05-05,Birchfield Ward,159,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
2349366b0fcb7116,Chanda Alak,2022-05-05,Birchfield Ward,211,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
8ea6dfca9efc824f,Hussain Mahmood,2022-05-05,Birchfield Ward,1391,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
