person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
28e5ee117cdb8ea4,McLernan Michael James Alexander,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
a26d79ed845348ee,Neal Ian,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
f2a313d6dfd6fbac,Peacock Hilary Clare,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
acb5616ba6ea3ebb,Peacock Joseph Michael,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
db1c93ece4f3aaac,Qazi Nayaz,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370709/billesley_ward_results
d05ba9eb5e4ac96f,Anton Christopher Stephen,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
2349366b0fcb7116,Chanda Alak,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
8ea6dfca9efc824f,Hussain Mahmood,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370710/birchfield_ward_results
c7107b225d7f3a21,Guest Martin John,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
32606fe94344d82b,Mosquito Yvonne Maria,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
7efc042f17bd1e4d,Talukder Zia,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
20a6ebb99c9b876b,Woollard Ed,Workers Party - Birmingham,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
015cc7603838c32b,Aziz Raqeeb,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
9b95f0cf538e8ee6,Burkey Wajad,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
77c118a35d5f5b98,Moynihan Gerry,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370717/bordesley_green_ward_results
