election_date,ward_name,number_of_candidates,total_votes_cast,total_potential_voters,turnout_percent,number_of_councillors_elected,source_url
2018-05-03,Acocks Green Ward,8,8490,16028,29.22,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Allens Cross Ward,5,2184,7541,29.03,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Alum Rock Ward,6,10286,15610,36.87,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Aston Ward,8,12006,14221,44.06,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Balsall Heath West Ward,5,2535,7155,35.95,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bartley Green Ward,7,8157,15666,27.14,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Billesley Ward,8,9619,14228,35.3,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Birchfield Ward,3,2277,6929,33.08,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bournville Ward,9,10578,13643,40.14,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bordesley and Highgate Ward,4,1499,6908,21.87,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bordesley Green Ward,4,2397,7106,34.06,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bournbrook and Selly Park Ward,9,5851,12732,24.14,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Brandwood and Kings Heath Ward,10,10691,14235,40.13,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Bromford and Hodge Hill Ward,6,7020,13838,28.41,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
2018-05-03,Acocks Green Ward,8,8490,16028,29.22,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
2018-05-03,Allens Cross Ward,5,2184,7541,29.03,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
2018-05-03,Alum Rock Ward,6,10286,15610,36.87,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
2018-05-03,Aston Ward,8,12006,14221,44.06,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
2018-05-03,Balsall Heath West Ward,5,2535,7155,35.95,1,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
2018-05-03,Bartley Green Ward,7,8157,15666,27.14,2,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018#content
