person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
87bdc834130099cb,Ali Wajad,Conservative Party Candidate,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
6711b70b9f075c6c,Baker Amanda Caroline,Green Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
879f28dd240212e7,Flynn Eamonn Kevin,Trade Unionist and Socialist Coalition,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
1cf7a09f1777f9a9,Harmer Roger Kingdon,Liberal Democrat,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
1063309d855b9d74,O'Shea John,Labour Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
e17641be8b013eb1,Penny Wagg,Liberal Democrat,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
23d4e8c557060b1b,Watson Luke,Conservative Party Candidate,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
43cf005b16da0200,"Williams, Fiona",Labour Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
8dd86ab2bbdb8264,Beck Peter Charles,Green Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
9657547e2df4d589,Bedser Steve,Labour and Co-operative Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
693fdd0bc1b4876a,Fielden Claire Alexandra,Liberal Democrat,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
102f733614311601,Eddie Freeman,The Conservative Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
bcd5ac33c6b4f38f,Rodgers Dick,Common Good,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
874bd90b9aef0aea,Brookes-Bland,Conservative Party Candidate,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
4f8039f4354d0a85,"Idrees, Mohammed",Labour Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
0884495a333756fc,Khan Amil,Conservative Party Candidate,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
b8c7734b79830807,"Khan, Mariam",Labour Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
8b6712271721b5d4,Lister Thomas,Liberal Democrat,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
fce658ccddc1c090,Ross Colin,Liberal Democrat,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
3f449d7ad171322a,Afzal Muhammad,Labour Party,2018-05-03,,True,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
