person_id,person_name,first_seen_ward,source_url
d3872c5b4794e4a4,"Mirza, Adam",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
10a4f7ce712646b8,"Mohamed, Abdulaziz",Handsworth Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3220/handsworth_ward_election_2026
9b90e62926f7e3d2,Mohammed Murad,Sparkhill Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
a21aa3480d685c81,"Mohammed, Hannah",Newtown Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3234/newtown_ward_election_2026
4516a976dd0ad343,"Mohammed, Hayyan",Perry Barr Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3238/perry_barr_ward_election_2026
48fbd60a5250aa54,Moledina Shehla,Balsall Heath West Ward,https://www.birmingham.gov.uk/directory_record/370704/balsall_heath_west_ward_results
9e268145e0112d2c,Moles Andrew William,Northfield Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
bf4aaa1fc8838a87,"Moles, Andy",Northfield Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3236/northfield_ward_election_2026
745328b9dde89722,"Molloy-Brookes, Daniel Patrick",King’s Norton North Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3226/kings_norton_north_ward_election_2026
a266181f6b6eb295,Moore Charlie,Stockland Green Ward,https://www.birmingham.gov.uk/directory_record/370723/stockland_green_ward_results
99b770979fac27b5,"Moore, Gareth Raymond",Erdington Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3213/erdington_ward_election_2026
d10f6684645e234a,"Moore, Richard William",Harborne Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3222/harborne_ward_election_2026
6e4c2440ccb5d7e8,"Morgner, Liron Alethea Thomas",Sutton Vesey Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3257/sutton_vesey_ward_election_2026
37a897fcecf62d99,"Morrall, Simon",Frankley Great Park Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3214/frankley_great_park_ward_election_2026
4e3e7afbeeb780ef,"Morris, Kenneth Oliver",Erdington Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3213/erdington_ward_election_2026
bf12b9b4423e1942,Morrow Alan,Billesley Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
b733f2520b58b52b,Morrow Jacob,Bartley Green Ward,https://www.birmingham.gov.uk/directory_record/370705/bartley_green_ward_results
32606fe94344d82b,Mosquito Yvonne Maria,Bordesley and Highgate Ward,https://www.birmingham.gov.uk/directory_record/370716/bordesley_and_highgate_ward_results
462606f455ea2663,"Moynihan, Gerry",Bordesley and Highgate Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
ca812292b4bbd90a,Mullaney Martin James Paul,Brandwood and Kings Heath Ward,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
73d620411ac800c5,"Mullaney, Martin",Bournbrook and Selly Park Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3206/bournbrook_and_selly_park_ward_election_2026
d5337803c6e0e566,Murphy Estelle Louise,Stockland Green Ward,https://www.birmingham.gov.uk/directory_record/370723/stockland_green_ward_results
cff8a7b0e023fbf0,"Murphy, Stella",Stockland Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3251/stockland_green_ward_election_2026
7e8fea23e71ac9fb,Murray Bill,Pype Hayes Ward,https://www.birmingham.gov.uk/directory_record/370767/pype_hayes_ward_results
6358bb67a345d9fd,"Mustifa, Dawud",Tyseley and Hay Mills Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3260/tyseley_and_hay_mills_ward_election_2026
35b6d50a01b0392c,"Myers, Sarah Elizabeth",Sutton Mere Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3253/sutton_mere_green_ward_election_2026
b94562ca206f8995,"Nadeem, Mohammad",Tyseley and Hay Mills Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3260/tyseley_and_hay_mills_ward_election_2026
68d443aaa40f1fa7,"Naeem, Sahibzada Abid",Billesley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
62815445776f177a,"Naseem, Sal",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
dd8bfcfc761a8473,Nawaz Luqmaan,Gravelly Hill Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
fc4c6c75f31b5668,"Naz, Farah",Balsall Heath West Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3200/balsall_heath_west_ward_election_2026
d88f989bbb1d4e36,"Neal, Ian",Billesley Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3202/billesley_ward_election_2026
09178100c21fc61a,Neilly Gwyn,Bromford and Hodge Hill Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
e66bc16ef1f55722,"Nela, Musa",Bournbrook and Selly Park Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3206/bournbrook_and_selly_park_ward_election_2026
fc305d2a10b0647e,Nelson Jane Elizabeth,Bournbrook and Selly Park Ward,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
1eb5d325e57d4c5c,Nettle Alexander,Edgbaston Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
8cb92775713d66d6,"Neumann, Alfie",Northfield Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3236/northfield_ward_election_2026
82213ed78b566fbe,Neville Mathew John,Bournbrook and Selly Park Ward,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
64d9f2e947616f89,"Neville, Matthew John",Longbridge and West Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3230/longbridge_and_west_heath_ward_election_2026
41b5392848b103f2,"Newton, Barry",Birchfield Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3203/birchfield_ward_election_2026
5e74e43162132994,"Nistor, Julian",Ward End Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3261/ward_end_ward_election_2026
b782eeea56f219b9,Nolan Jenny,Edgbaston Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/2
da6429d19f03352d,"Noor, Zoobia",Ladywood Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3229/ladywood_ward_election_2026
a9c29330c28939c4,Norman Elizabeth Anne,Glebe Farm and Tile Cross Ward,https://www.birmingham.gov.uk/directory_record/370738/glebe_farm_and_tile_cross_ward_results
139a2f2cbf0ef331,Norris Joe,Stockland Green Ward,https://www.birmingham.gov.uk/directory_record/370723/stockland_green_ward_results
e5b6a2dcece0adf1,Nunan Fiona,Sutton Four Oaks Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
ecef7ce3543f30bd,"Nwofor, Tochi",Brandwood and Kings Heath Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3208/brandwood_and_kings_heath_ward_election_2026
a15d2af1159510e9,O'Callaghan Dominic Bernard Paul Hutton,Moseley Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
91520d1e3a5725b4,"O'Callaghan, Benjamin",Garretts Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3215/garretts_green_ward_election_2026
100b8db20d8a411e,"O'Donovan, Conor",Nechells Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3233/nechells_ward_election_2026
c93fb7f3cbab7ddc,O'Hagan David Michael,Sutton Walmley and Minworth Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/6
3241c2f05fb4d33b,"O'Hara, Harriet Rose",Hall Green North Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3218/hall_green_north_ward_election_2026
4a7094b21c48c998,O'Reilly Brett,Longbridge and West Heath Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
1063309d855b9d74,O'Shea John,Acocks Green Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
3a01c2e08fd28d2c,"O'Shea, John Anthony",Acocks Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3196/acocks_green_ward_election_2026
e8c2f8d6b7183050,"O'Shea, Lu",Acocks Green Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3196/acocks_green_ward_election_2026
f480bff7e17334a3,"O'Shea, Michael Lee",Sparkhill Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3249/sparkhill_ward_election_2026
ac09c429af40341f,"Obad, Waleed",Bordesley and Highgate Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3204/bordesley_and_highgate_ward_election_2026
f65f21191415c915,Okae Fosu George Michael,Handsworth Ward,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
48055f51109dd66d,Okello Rachel Judith,Perry Common Ward,https://www.birmingham.gov.uk/directory_record/370766/perry_common_ward_results
354e06c0b7889896,Okole Anne Margaret,Sutton Mere Green Ward,https://www.birmingham.gov.uk/directory_record/370729/sutton_mere_green_ward_results
48880f630ea1eafc,"Okole, Margaret",Castle Vale Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3210/castle_vale_ward_election_2026
1d2670d61bb99afb,"Orme, Jerry",Kingstanding Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3228/kingstanding_ward_election_2026
b79823f3229eacad,Osborne David,Bartley Green Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
6c2a098e3d3bd9ca,Osborne Maureen Ada,Bartley Green Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018
b959e4fe25d11501,Padda Raj,North Edgbaston Ward,https://www.birmingham.gov.uk/info/50381/past_election_results/1685/local_government_election_results_may_2018/4
c8c75ee4775480fd,Painter Richard Hugh,Kingstanding Ward,https://www.birmingham.gov.uk/directory_record/370749/kingstanding_ward_results
1dfaa675ccafe676,"Painter, Richard",Sutton Reddicap Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3254/sutton_reddicap_ward_election_2026
9f7a2b63c7e2296a,"Pandey, Abhinav Priyadarshi",Ladywood Ward,https://www.birmingham.gov.uk/info/50385/election_2026_candidates/3229/ladywood_ward_election_2026
